CA Number,ID,Collection,Site,Ware,3D model
CA230377,401,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230377-401-7aed02f310914f96a81ec4273d1755f1
CA230378,396,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230378-396-b6683e7330194ce3b067b41c4ca50751
CA230379,378,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230379-378-398426e05ffb4494a5ff7763aeb8188c
CA230381,455,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230381-455-9e2b17cf12b042c58db41e8d872b9fbd
CA230382,452,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230382-452-e6933edd83654274b5d1bb49febb7557
CA230383,356,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí - no paint,https://sketchfab.com/3d-models/ca230383-356-3a035000ff0d4eecbbe93d38b62d54fb
CA230386,368,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230386-368-d7b0c708b23847d0891b4789b4b2ce26
CA230387,420,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230387-420-b59bee8818b848c29150d5815a70b195
CA230388,416,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230388-416-e0efb8e1c8e04f9db550fac3fc034035
CA230389,445,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230389-445-a95a00b351f94fe5978d316011071658
CA230390,380,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230390-380-49a277adf83740089d91fa2dce83b803
CA230392,425,Union del Sur,"Site 137 - Porvenir, Iles ",Capulí,https://sketchfab.com/3d-models/ca230392-425-b76791f3c6c142aaabca63f3da10f191
CA230401,BOM197,Bomboná,Bomboná -Los Eucaliptos,Tuza,https://sketchfab.com/3d-models/ca230401-bom197-dbb9aed89e134dfd9ba9e31f250061be
CA230402,BOM240,Bomboná,Bomboná-Olleros,Tuza,https://sketchfab.com/3d-models/ca230402-bom240-8e5aae6d9d1646fa96ca0c9bda1ca20e
CA230403,BOM252,Bomboná,Bomboná,Piartal - 1,https://sketchfab.com/3d-models/ca230403-bom252-eb4937d5d0804f628595dde8c1d9ab80
CA230404,BOM181,Bomboná,Bomboná-Aguacate,Piartal - 2,https://sketchfab.com/3d-models/ca230404-bom181-8b52aa82b4bb4a33be893895539dd80e
CA230405,BOM261,Bomboná,Bomboná -Los Eucaliptos,Capulí,https://sketchfab.com/3d-models/ca230405-bom261-54d5617f791c42148b3fb4c5ae786b2a
CA230406,BOM096,Bomboná,Bomboná -Los Eucaliptos,Tuza,https://sketchfab.com/3d-models/ca230406-bom096-9a14f3182e244f0482178b33d2475cad
CA230407,BOM165,Bomboná,Bomboná-Aguacate,Tuza,https://sketchfab.com/3d-models/ca230407-bom165-0141d7e9e7414341b23b9ccd9e289987
CA230408,BOM189,Bomboná,Bomboná -Los Eucaliptos,Tuza,https://sketchfab.com/3d-models/ca230408-bom189-aad3a7208baf4746ad58171b49a6ec44
CA230410,BOM210,Bomboná,Bomboná-Aguacate,Tuza,https://sketchfab.com/3d-models/ca230410-bom210-e70b85a88ec64b1d9a83095343103007
CA230411,BOM182,Bomboná,Bomboná-Aguacate,Tuza,https://sketchfab.com/3d-models/ca230411-bom182-454769fa71614213a36243ac0c59c870
CA230412,BOM179,Bomboná,Consacá,Tuza,https://sketchfab.com/3d-models/ca230412-bom179-b61e330a5edd46e1a04d09d2bfc8c102
CA230413,BOM229,Bomboná,Bomboná-Aguacate,Tuza - Red slip,https://sketchfab.com/3d-models/ca230413-bom229-926e4f0de8d5484e87157b9cc39a6d41
CA230416,OBO007,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230416-obo007-a65e653c57a740ca834f1dff8297ee18
CA230417,OBO011,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230417-obo011-4aed8cbcefc449a1b09aee39a280da05
CA230422,OBO015,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230422-obo015-3c4b65131d7f4749ad30aa12547ac341
CA230423,OBO030,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230423-obo030-2bdbab4138eb48e4a3f273f70a79c50c
CA230424,OBO039,Obonuco,Obonuco,Piartal - 1,https://sketchfab.com/3d-models/ca230424-obo039-e2d6b8e1f4844bca90533fff3e13753d
CA230428,SAN075,San Damián,San Damián,Tuza,https://sketchfab.com/3d-models/ca230428-san075-1ac29656de69486c9bd2427ab9f2e171
CA230429,SAN077,San Damián,San Damián,Tuza,https://sketchfab.com/3d-models/ca230429-san077-6999d618c49a4443b589d60e76505512
CA230430,SAN078,San Damián,San Damián,Tuza - Red slip,https://sketchfab.com/3d-models/ca230430-san078-82c4f77f73964296930f3a90ad6bb194
CA230431,SAN074,San Damián,San Damián,Piartal - 1,https://sketchfab.com/3d-models/ca230431-san074-f2846bc97e4343cfa167226b4fb30acc
CA230432,SAN076,San Damián,San Damián,Piartal - 1,https://sketchfab.com/3d-models/ca230432-san076-c50a50849b33495f8f0bb3c6e68485e6
CA230434,SAN083,San Damián,San Damián,Piartal - 1,https://sketchfab.com/3d-models/ca230434-san083-767bef2847dd4976b0e087995d381bd2
CA230714,C03364,Museo del Oro,"Pupiales (Colombia, Nariño) ",Piartal - 2,https://sketchfab.com/3d-models/ca230714-c03364-f1069c1c440544f0aa0f1030d06fe8c0
CA230715,C03990,Museo del Oro,"Pupiales (Colombia, Nariño) ",Tuza,https://sketchfab.com/3d-models/ca230715-c03990-cda060038f654c89917532ecde43a6ae
CA230716,C03991,Museo del Oro,"Pupiales (Colombia, Nariño) ",Piartal - 1,https://sketchfab.com/3d-models/ca230716-c03991-e1332e76c00a435cb1ec2079188d93a2
CA230717,C03993,Museo del Oro,"Pupiales (Colombia, Nariño) ",Piartal - 1,https://sketchfab.com/3d-models/ca230717-c03993-740e15d802284975a4a80de9c8a4af51
CA230718,C04118,Museo del Oro,"Pupiales (Colombia, Nariño) ",Tuza,https://sketchfab.com/3d-models/ca230718-c04118-f6ddbe721cd24d67ae6cfb11bba18d98
CA230719,C04120,Museo del Oro,"Pupiales (Colombia, Nariño) ",Tuza,https://sketchfab.com/3d-models/ca230719-c04120-822999c30d4140be81828293dfce61f0
CA230720,C04122,Museo del Oro,"Pupiales (Colombia, Nariño) ",Tuza,https://sketchfab.com/3d-models/ca230720-c04122-de3e1ff9769b411a8d6301dbc846663b
CA230721,C04123,Museo del Oro,"Pupiales (Colombia, Nariño) ",Tuza,https://sketchfab.com/3d-models/ca230721-c04123-10d2180388624ea7a7f8aed86e1208dc
CA230722,C13735,Museo del Oro,Nariño (Colombia) ,Piartal - 2,https://sketchfab.com/3d-models/ca230722-c13735-7437fff68cde43d188858a8d77f7a4bf
CA230723,C13737,Museo del Oro,Nariño (Colombia) ,Piartal - 2,https://sketchfab.com/3d-models/ca230723-c13737-ec5cc74de5bc486fb0638a1845a5398a
CA230724,C13744,Museo del Oro,Nariño (Colombia) ,Tuza,https://sketchfab.com/3d-models/ca230724-c13744-0b8b752a363c41b2bc3d48544a28f673
CA230725,C13747,Museo del Oro,Nariño (Colombia) ,Piartal - 2,https://sketchfab.com/3d-models/ca230725-c13747-b5b959eca024439cb732e4fef796e37f
CA230726,C13751,Museo del Oro,Nariño (Colombia) ,Piartal - 2,https://sketchfab.com/3d-models/ca230726-c13751-96213926e3904320ac0895e654a402d0
